mets	metBiGGID	metChEBIID	metEHMNID	metHMDBID	metHMR2ID	metHepatoNET1ID	metKEGGID	metLipidMapsID	metMetaNetXID	metPubChemID	metRecon3DID	metRetired	metsNoComp
"MAM02136e"	"hom__L"	"CHEBI:15699"	""	"HMDB0000719"	"m02136s"	"HC00239"	"C00263"	""	"MNXM353"	"12647"	"hom_L"	"m02136s"	"MAM02136"
"MAM02137c"	"homoval"	"CHEBI:545959"	""	"HMDB0000118"	"m02137c"	"HC01519"	"C05582"	""	"MNXM162963;MNXM3287"	"1738"	"homoval"	"m02137c"	"MAM02137"
"MAM02137e"	"homoval"	"CHEBI:545959"	""	"HMDB0000118"	"m02137s"	"HC01519"	"C05582"	""	"MNXM162963;MNXM3287"	"1738"	"homoval"	"m02137s"	"MAM02137"
"MAM02138c"	""	"CHEBI:5764"	""	"HMDB0004366"	"m02138c"	""	"C06199"	""	"MNXM11832"	"68313"	"C06199"	"m02138c"	"MAM02138"
"MAM02139l"	"ha_pre1"	"CHEBI:16126"	""	""	"m02139l"	""	"C04794"	""	"MNXM7438"	"440484"	"ha_pre1"	"m02139l"	"MAM02139"
"MAM02139e"	"ha_pre1"	"CHEBI:16126"	""	""	"m02139s"	""	"C04794"	""	"MNXM7438"	"440484"	"ha_pre1"	"m02139s"	"MAM02139"
"MAM02140l"	"ha_deg1"	""	""	""	"m02140l"	""	""	""	"MNXM11834"	""	"ha_deg1"	"m02140l"	"MAM02140"
"MAM02141l"	"ha"	"CHEBI:16336"	""	""	"m02141l"	""	"C00518"	""	"MNXM18575"	"24759"	"ha"	"m02141l"	"MAM02141"
"MAM02141e"	"ha"	"CHEBI:16336"	""	""	"m02141s"	""	"C00518"	""	"MNXM18575"	"24759"	"ha"	"m02141s"	"MAM02141"
"MAM02142m"	"3hpp"	"CHEBI:33404"	""	"HMDB0000700"	"m02142m"	"HC00625"	"C01013"	""	"MNXM872"	"68152"	"3hpp"	"m02142m"	"MAM02142"
"MAM02143c"	""	"CHEBI:47266"	""	""	"m02143c"	""	"C13645"	""	"MNXM833"	""	"M02143"	"m02143c"	"MAM02143"
"MAM02144c"	""	""	""	""	"m02144c"	""	"C01327"	""	"MNXM43"	""	"M02144"	"m02144c"	"MAM02144"
"MAM02145c"	"cyan"	"CHEBI:18407"	""	""	"m02145c"	""	"C01326"	""	"MNXM254"	"768"	"cyan"	"m02145c"	"MAM02145"
"MAM02145m"	"cyan"	"CHEBI:18407"	""	""	"m02145m"	""	"C01326"	""	"MNXM254"	"768"	"cyan"	"m02145m"	"MAM02145"
"MAM02145e"	"cyan"	"CHEBI:18407"	""	""	"m02145s"	""	"C01326"	""	"MNXM254"	"768"	"cyan"	"m02145s"	"MAM02145"
"MAM02146c"	""	"CHEBI:43451"	""	""	"m02146c"	""	"C05590"	""	"MNXM163"	""	"M02146"	"m02146c"	"MAM02146"
"MAM02147c"	"oh1"	"CHEBI:16234"	""	""	"m02147c"	""	"C01328"	""	"MNXM2"	"961"	"oh1"	"m02147c"	"MAM02147"
"MAM02147m"	"oh1"	"CHEBI:16234"	""	""	"m02147m"	""	"C01328"	""	"MNXM2"	"961"	"oh1"	"m02147m"	"MAM02147"
"MAM02147e"	"oh1"	"CHEBI:16234"	""	""	"m02147s"	""	"C01328"	""	"MNXM2"	"961"	"oh1"	"m02147s"	"MAM02147"
"MAM02148c"	"acetol"	"CHEBI:27957"	""	"HMDB0006961"	"m02148c"	""	"C05235"	""	"MNXM1744"	"8299"	"acetol"	"m02148c"	"MAM02148"
"MAM02149c"	""	""	"CE5899"	""	"m02149c"	""	""	""	"MNXM56888"	""	""	"m02149c"	"MAM02149"
"MAM02150c"	"ebastineoh"	""	""	""	"m02150c"	""	""	""	"MNXM8725"	""	"ebastineoh"	"m02150c"	"MAM02150"
"MAM02150r"	"ebastineoh"	""	""	""	"m02150r"	""	""	""	"MNXM8725"	""	"ebastineoh"	"m02150r"	"MAM02150"
"MAM02150e"	"ebastineoh"	""	""	""	"m02150s"	""	""	""	"MNXM8725"	""	"ebastineoh"	"m02150s"	"MAM02150"
"MAM02151c"	"hmbil"	"CHEBI:16645"	""	""	"m02151c"	"HC00628"	"C01024"	""	"MNXM547"	"788"	"hmbil"	"m02151c"	"MAM02151"
"MAM02152c"	""	"CHEBI:48926"	""	""	"m02152c"	"HC02121"	"C14180"	""	"MNXM1051;MNXM165122"	"447123"	"HC02121"	"m02152c"	"MAM02152"
"MAM02153c"	"hnifedipine"	""	""	""	"m02153c"	""	""	""	"MNXM18597"	""	"hnifedipine"	"m02153c"	"MAM02153"
"MAM02153e"	"hnifedipine"	""	""	""	"m02153s"	""	""	""	"MNXM18597"	""	"hnifedipine"	"m02153s"	"MAM02153"
"MAM02154c"	"hpyr"	"CHEBI:30841"	""	""	"m02154c"	"HC00163"	"C00168"	""	"MNXM392"	"964"	"hpyr"	"m02154c"	"MAM02154"
"MAM02154m"	"hpyr"	"CHEBI:30841"	""	""	"m02154m"	"HC00163"	"C00168"	""	"MNXM392"	"964"	"hpyr"	"m02154m"	"MAM02154"
"MAM02154x"	"hpyr"	"CHEBI:30841"	""	""	"m02154p"	"HC00163"	"C00168"	""	"MNXM392"	"964"	"hpyr"	"m02154p"	"MAM02154"
"MAM02155c"	""	""	""	""	"m02155c"	""	"C15517"	""	"MNXM4014"	""	"M02155"	"m02155c"	"MAM02155"
"MAM02155e"	""	""	""	""	"m02155s"	""	"C15517"	""	"MNXM4014"	""	"M02155"	"m02155s"	"MAM02155"
"MAM02156c"	""	""	"CE4633"	""	"m02156c"	""	""	""	"MNXM3035"	"24341"	"CE4633"	"m02156c"	"MAM02156"
"MAM02157c"	"hyptaur"	"CHEBI:16668"	""	"HMDB0000965"	"m02157c"	"HC00406"	"C00519"	""	"MNXM726;MNXM91617"	"107812"	"hyptaur"	"m02157c"	"MAM02157"
"MAM02158c"	""	""	"CE2011"	""	"m02158c"	""	""	""	"MNXM57006"	"124985"	"CE2011"	"m02158c"	"MAM02158"
"MAM02159c"	"hxan"	"CHEBI:17368"	""	"HMDB0000157"	"m02159c"	"HC00238"	"C00262"	""	"MNXM213"	"790"	"hxan"	"m02159c"	"MAM02159"
"MAM02159x"	"hxan"	"CHEBI:17368"	""	"HMDB0000157"	"m02159p"	"HC00238"	"C00262"	""	"MNXM213"	"790"	"hxan"	"m02159p"	"MAM02159"
"MAM02159e"	"hxan"	"CHEBI:17368"	""	"HMDB0000157"	"m02159s"	"HC00238"	"C00262"	""	"MNXM213"	"790"	"hxan"	"m02159s"	"MAM02159"
"MAM02161c"	"idp"	"CHEBI:17808"	""	""	"m02161c"	"HC00104"	"C00104"	""	"MNXM495"	"6831"	"idp"	"m02161c"	"MAM02161"
"MAM02161m"	"idp"	"CHEBI:17808"	""	""	"m02161m"	"HC00104"	"C00104"	""	"MNXM495"	"6831"	"idp"	"m02161m"	"MAM02161"
"MAM02161n"	"idp"	"CHEBI:17808"	""	""	"m02161n"	"HC00104"	"C00104"	""	"MNXM495"	"6831"	"idp"	"m02161n"	"MAM02161"
"MAM02161e"	"idp"	"CHEBI:17808"	""	""	"m02161s"	"HC00104"	"C00104"	""	"MNXM495"	"6831"	"idp"	"m02161s"	"MAM02161"
"MAM02162c"	""	""	""	""	"m02162c"	""	"G00056"	""	"MNXM41357"	""	"M02162"	"m02162c"	"MAM02162"
"MAM02163c"	""	""	""	""	"m02163c"	""	"G00060"	""	"MNXM13369"	""	"M02163"	"m02163c"	"MAM02163"
"MAM02164c"	"fuc13galacglcgal14acglcgalgluside_hs"	""	""	""	"m02164c"	""	"G00076"	""	"MNXM8728"	""	"fuc13galacglcgal14acglcgalgluside_hs"	"m02164c"	"MAM02164"
"MAM02164g"	"fuc13galacglcgal14acglcgalgluside_hs"	""	""	""	"m02164g"	""	"G00076"	""	"MNXM8728"	""	"fuc13galacglcgal14acglcgalgluside_hs"	"m02164g"	"MAM02164"
"MAM02164e"	"fuc13galacglcgal14acglcgalgluside_hs"	""	""	""	"m02164s"	""	"G00076"	""	"MNXM8728"	""	"fuc13galacglcgal14acglcgalgluside_hs"	"m02164s"	"MAM02164"
"MAM02165c"	"im4act"	"CHEBI:27398"	""	"HMDB0003905"	"m02165c"	""	"C05130"	""	"MNXM1745"	"150841"	"im4act"	"m02165c"	"MAM02165"
"MAM02165m"	"im4act"	"CHEBI:27398"	""	"HMDB0003905"	"m02165m"	""	"C05130"	""	"MNXM1745"	"150841"	"im4act"	"m02165m"	"MAM02165"
"MAM02166c"	"im4ac"	"CHEBI:16974"	""	"HMDB0002024"	"m02166c"	""	"C02835"	""	"MNXM1330"	"96215"	"im4ac"	"m02166c"	"MAM02166"
"MAM02166m"	"im4ac"	"CHEBI:16974"	""	"HMDB0002024"	"m02166m"	""	"C02835"	""	"MNXM1330"	"96215"	"im4ac"	"m02166m"	"MAM02166"
"MAM02167c"	"imp"	"CHEBI:17202"	""	"HMDB0000175"	"m02167c"	"HC00128"	"C00130"	""	"MNXM125"	"8582"	"imp"	"m02167c"	"MAM02167"
"MAM02167m"	"imp"	"CHEBI:17202"	""	"HMDB0000175"	"m02167m"	"HC00128"	"C00130"	""	"MNXM125"	"8582"	"imp"	"m02167m"	"MAM02167"
"MAM02167e"	"imp"	"CHEBI:17202"	""	"HMDB0000175"	"m02167s"	"HC00128"	"C00130"	""	"MNXM125"	"8582"	"imp"	"m02167s"	"MAM02167"
"MAM02168c"	"id3acald"	""	""	""	"m02168c"	""	"C00637"	""	"MNXM518"	"800"	"id3acald"	"m02168c"	"MAM02168"
"MAM02168m"	"id3acald"	""	""	""	"m02168m"	""	"C00637"	""	"MNXM518"	"800"	"id3acald"	"m02168m"	"MAM02168"
"MAM02169c"	"ind3ac"	"CHEBI:16411"	""	"HMDB0000197"	"m02169c"	""	"C00954"	""	"MNXM383"	"802"	"ind3ac"	"m02169c"	"MAM02169"
"MAM02169m"	"ind3ac"	"CHEBI:16411"	""	"HMDB0000197"	"m02169m"	""	"C00954"	""	"MNXM383"	"802"	"ind3ac"	"m02169m"	"MAM02169"
"MAM02170c"	"ins"	"CHEBI:17596"	""	"HMDB0000195"	"m02170c"	"HC00255"	"C00294"	""	"MNXM334"	"6021"	"ins"	"m02170c"	"MAM02170"
"MAM02170m"	"ins"	"CHEBI:17596"	""	"HMDB0000195"	"m02170m"	"HC00255"	"C00294"	""	"MNXM334"	"6021"	"ins"	"m02170m"	"MAM02170"
"MAM02170e"	"ins"	"CHEBI:17596"	""	"HMDB0000195"	"m02170s"	"HC00255"	"C00294"	""	"MNXM334"	"6021"	"ins"	"m02170s"	"MAM02170"
"MAM02171c"	"inost"	"CHEBI:17268"	""	"HMDB0000211"	"m02171c"	"HC00135"	"C00137"	""	"MNXM127"	"892"	"inost"	"m02171c"	"MAM02171"
"MAM02171r"	"inost"	"CHEBI:17268"	""	"HMDB0000211"	"m02171r"	"HC00135"	"C00137"	""	"MNXM127"	"892"	"inost"	"m02171r"	"MAM02171"
"MAM02171e"	"inost"	"CHEBI:17268"	""	"HMDB0000211"	"m02171s"	"HC00135"	"C00137"	""	"MNXM127"	"892"	"inost"	"m02171s"	"MAM02171"
"MAM02172c"	"mi13p"	"CHEBI:18225"	""	""	"m02172c"	""	"C04062"	""	"MNXM164916"	""	"mi13p"	"m02172c"	"MAM02172"
"MAM02173c"	"mi1p__D"	"CHEBI:18297"	""	""	"m02173c"	"HC00698"	"C01177"	""	"MNXM646"	""	"mi1p_D"	"m02173c"	"MAM02173"
"MAM02173n"	"mi1p__D"	"CHEBI:18297"	""	""	"m02173n"	"HC00698"	"C01177"	""	"MNXM646"	""	"mi1p_D"	"m02173n"	"MAM02173"
"MAM02174c"	"i"	"CHEBI:16382"	""	""	"m02174c"	""	"C00708"	""	"MNXM162756;MNXM163"	""	"i"	"m02174c"	"MAM02174"
"MAM02174r"	"i"	"CHEBI:16382"	""	""	"m02174r"	""	"C00708"	""	"MNXM162756;MNXM163"	""	"i"	"m02174r"	"MAM02174"
"MAM02174e"	"i"	"CHEBI:16382"	""	""	"m02174s"	""	"C00708"	""	"MNXM162756;MNXM163"	""	"i"	"m02174s"	"MAM02174"
"MAM02175c"	"iodine"	"CHEBI:17606"	""	"HMDB0000675"	"m02175c"	""	"C01382"	""	"MNXM945"	"807"	"iodine"	"m02175c"	"MAM02175"
"MAM02176c"	"CE5776"	""	"CE5753;CE5776"	""	"m02176c"	""	""	""	"MNXM729785;MNXM729784"	""	"CE5753;CE5776"	"m02176c"	"MAM02176"
"MAM02177c"	""	""	"CE5752"	""	"m02177c"	""	""	""	"MNXM156892"	""	"CE5752"	"m02177c"	"MAM02177"
"MAM02178c"	""	""	"CE5755"	""	"m02178c"	""	""	""	"MNXM156893"	""	"CE5755"	"m02178c"	"MAM02178"
"MAM02179c"	"CE5775"	""	"CE5754;CE5775"	""	"m02179c"	""	""	""	"MNXM729786;MNXM729787"	""	"CE5754;CE5775"	"m02179c"	"MAM02179"
"MAM02180m"	"ibcoa"	"CHEBI:15479"	""	"HMDB0001243"	"m02180m"	"HC00462"	"C00630"	""	"MNXM470"	"3036931"	"ibcoa"	"m02180m"	"MAM02180"
"MAM02181m"	""	""	"CE4969"	"HMDB0000730"	"m02181m"	""	""	""	"MNXM57844"	"10855600"	"CE4969"	"m02181m"	"MAM02181"
"MAM02182c"	"4mptnl"	"CHEBI:17998"	""	""	"m02182c"	""	"C02373"	"LMFA06000109"	"MNXM162907;MNXM992"	""	"4mptnl"	"m02182c"	"MAM02182"
"MAM02182m"	"4mptnl"	"CHEBI:17998"	""	""	"m02182m"	""	"C02373"	"LMFA06000109"	"MNXM162907;MNXM992"	""	"4mptnl"	"m02182m"	"MAM02182"
"MAM02182e"	"4mptnl"	"CHEBI:17998"	""	""	"m02182s"	""	"C02373"	"LMFA06000109"	"MNXM162907;MNXM992"	""	"4mptnl"	"m02182s"	"MAM02182"
"MAM02183c"	"icit"	"CHEBI:30887"	""	"HMDB0000193"	"m02183c"	"HC00266"	"C00311"	""	"MNXM162;MNXM89661"	"1198"	"icit"	"m02183c"	"MAM02183"
"MAM02183m"	"icit"	"CHEBI:30887"	""	"HMDB0000193"	"m02183m"	"HC00266"	"C00311"	""	"MNXM162;MNXM89661"	"1198"	"icit"	"m02183m"	"MAM02183"
"MAM02183x"	"icit"	"CHEBI:30887"	""	"HMDB0000193"	"m02183p"	"HC00266"	"C00311"	""	"MNXM162;MNXM89661"	"1198"	"icit"	"m02183p"	"MAM02183"
"MAM02184c"	"ile__L"	"CHEBI:17191"	""	"HMDB0000172"	"m02184c"	"HC00334"	"C00407"	""	"MNXM231"	"6306"	"ile_L"	"m02184c"	"MAM02184"
"MAM02184l"	"ile__L"	"CHEBI:17191"	""	"HMDB0000172"	"m02184l"	"HC00334"	"C00407"	""	"MNXM231"	"6306"	"ile_L"	"m02184l"	"MAM02184"
"MAM02184m"	"ile__L"	"CHEBI:17191"	""	"HMDB0000172"	"m02184m"	"HC00334"	"C00407"	""	"MNXM231"	"6306"	"ile_L"	"m02184m"	"MAM02184"
"MAM02184e"	"ile__L"	"CHEBI:17191"	""	"HMDB0000172"	"m02184s"	"HC00334"	"C00407"	""	"MNXM231"	"6306"	"ile_L"	"m02184s"	"MAM02184"
"MAM02185e"	""	"CHEBI:28189"	""	""	"m02185s"	"HC00229"	"C00252"	""	"MNXM58018"	""	"isomal"	"m02185s"	"MAM02185"
"MAM02186c"	""	""	""	""	"m02186c"	""	"G00078"	""	"MNXM159203"	""	"M02186"	"m02186c"	"MAM02186"
"MAM02187c"	"ipdp"	"CHEBI:16584"	""	""	"m02187c"	"HC00127"	"C00129"	"LMPR01010008"	"MNXM83"	"1195"	"ipdp"	"m02187c"	"MAM02187"
"MAM02187x"	"ipdp"	"CHEBI:16584"	""	""	"m02187p"	"HC00127"	"C00129"	"LMPR01010008"	"MNXM83"	"1195"	"ipdp"	"m02187p"	"MAM02187"
"MAM02188c"	""	""	"CE1941"	"HMDB0006009"	"m02188c"	""	""	""	"MNXM58163"	"171763"	"CE1941"	"m02188c"	"MAM02188"
"MAM02189m"	"ivcoa"	"CHEBI:15487"	""	"HMDB0001113"	"m02189m"	"HC01021"	"C02939"	""	"MNXM471"	"439855"	"ivcoa"	"m02189m"	"MAM02189"
"MAM02190m"	""	""	"CE4968"	"HMDB0000678"	"m02190m"	""	""	""	"MNXM58397"	"546304"	"CE4968"	"m02190m"	"MAM02190"
"MAM02191c"	"itacon"	"CHEBI:30838"	""	"HMDB0002092"	"m02191c"	""	"C00490"	""	"MNXM1747"	"811"	"itacon"	"m02191c"	"MAM02191"
"MAM02191m"	"itacon"	"CHEBI:30838"	""	"HMDB0002092"	"m02191m"	""	"C00490"	""	"MNXM1747"	"811"	"itacon"	"m02191m"	"MAM02191"
"MAM02191e"	"itacon"	"CHEBI:30838"	""	"HMDB0002092"	"m02191s"	""	"C00490"	""	"MNXM1747"	"811"	"itacon"	"m02191s"	"MAM02191"
"MAM02192m"	"itaccoa"	"CHEBI:15528"	""	"HMDB0003377"	"m02192m"	""	"C00531"	""	"MNXM1671"	"439254"	"itaccoa"	"m02192m"	"MAM02192"
"MAM02193c"	"itp"	"CHEBI:16039"	""	""	"m02193c"	"HC00084"	"C00081"	""	"MNXM423"	"8583"	"itp"	"m02193c"	"MAM02193"
"MAM02193m"	"itp"	"CHEBI:16039"	""	""	"m02193m"	"HC00084"	"C00081"	""	"MNXM423"	"8583"	"itp"	"m02193m"	"MAM02193"
"MAM02193n"	"itp"	"CHEBI:16039"	""	""	"m02193n"	"HC00084"	"C00081"	""	"MNXM423"	"8583"	"itp"	"m02193n"	"MAM02193"
"MAM02193e"	"itp"	"CHEBI:16039"	""	""	"m02193s"	"HC00084"	"C00081"	""	"MNXM423"	"8583"	"itp"	"m02193s"	"MAM02193"
"MAM02195c"	""	"CHEBI:28743"	""	""	"m02195c"	""	"C06131"	""	"MNXM163276;MNXM6163"	""	"M02195"	"m02195c"	"MAM02195"
"MAM02196c"	""	""	""	""	"m02196c"	""	"G00055"	""	"MNXM41359"	""	"M02196"	"m02196c"	"MAM02196"
"MAM02197c"	""	"G00095"	""	""	"m02197c"	""	"C04925"	""	"MNXM3312"	""	"M02197"	"m02197c"	"MAM02197"
"MAM02198c"	"fucacngalacglcgalgluside_hs"	""	""	""	"m02198c"	""	""	""	"MNXM8779"	""	"fucacngalacglcgalgluside_hs"	"m02198c"	"MAM02198"
"MAM02198g"	"fucacngalacglcgalgluside_hs"	""	""	""	"m02198g"	""	""	""	"MNXM8779"	""	"fucacngalacglcgalgluside_hs"	"m02198g"	"MAM02198"
"MAM02198e"	"fucacngalacglcgalgluside_hs"	""	""	""	"m02198s"	""	""	""	"MNXM8779"	""	"fucacngalacglcgalgluside_hs"	"m02198s"	"MAM02198"
"MAM02199c"	"fucacngal14acglcgalgluside_hs"	""	""	""	"m02199c"	""	"G00063"	""	"MNXM8780"	""	"fucacngal14acglcgalgluside_hs"	"m02199c"	"MAM02199"
"MAM02199g"	"fucacngal14acglcgalgluside_hs"	""	""	""	"m02199g"	""	"G00063"	""	"MNXM8780"	""	"fucacngal14acglcgalgluside_hs"	"m02199g"	"MAM02199"
"MAM02199e"	"fucacngal14acglcgalgluside_hs"	""	""	""	"m02199s"	""	"G00063"	""	"MNXM8780"	""	"fucacngal14acglcgalgluside_hs"	"m02199s"	"MAM02199"
"MAM02200c"	"k"	"CHEBI:26216"	""	"HMDB0000586"	"m02200c"	"HC00216"	"C00238"	""	"MNXM95"	"813"	"k"	"m02200c"	"MAM02200"
"MAM02200g"	"k"	"CHEBI:26216"	""	"HMDB0000586"	"m02200g"	"HC00216"	"C00238"	""	"MNXM95"	"813"	"k"	"m02200g"	"MAM02200"
"MAM02200e"	"k"	"CHEBI:26216"	""	"HMDB0000586"	"m02200s"	"HC00216"	"C00238"	""	"MNXM95"	"813"	"k"	"m02200s"	"MAM02200"
"MAM02201g"	"ksi_pre1"	""	""	""	"m02201g"	""	""	""	"MNXM11945"	""	"ksi_pre1"	"m02201g"	"MAM02201"
"MAM02202g"	"ksi_pre10"	""	""	""	"m02202g"	""	""	""	"MNXM11946"	""	"ksi_pre10"	"m02202g"	"MAM02202"
"MAM02203g"	"ksi_pre11"	""	""	""	"m02203g"	""	""	""	"MNXM11947"	""	"ksi_pre11"	"m02203g"	"MAM02203"
"MAM02204g"	"ksi_pre12"	""	""	""	"m02204g"	""	""	""	"MNXM11948"	""	"ksi_pre12"	"m02204g"	"MAM02204"
"MAM02205g"	"ksi_pre13"	""	""	""	"m02205g"	""	""	""	"MNXM11949"	""	"ksi_pre13"	"m02205g"	"MAM02205"
"MAM02206g"	"ksi_pre14"	""	""	""	"m02206g"	""	""	""	"MNXM11950"	""	"ksi_pre14"	"m02206g"	"MAM02206"
"MAM02207g"	"ksi_pre15"	""	""	""	"m02207g"	""	""	""	"MNXM11951"	""	"ksi_pre15"	"m02207g"	"MAM02207"
"MAM02208g"	"ksi_pre16"	""	""	""	"m02208g"	""	""	""	"MNXM11952"	""	"ksi_pre16"	"m02208g"	"MAM02208"
"MAM02209g"	"ksi_pre17"	""	""	""	"m02209g"	""	""	""	"MNXM11953"	""	"ksi_pre17"	"m02209g"	"MAM02209"
"MAM02210g"	"ksi_pre18"	""	""	""	"m02210g"	""	""	""	"MNXM11954"	""	"ksi_pre18"	"m02210g"	"MAM02210"
"MAM02211g"	"ksi_pre19"	""	""	""	"m02211g"	""	""	""	"MNXM11955"	""	"ksi_pre19"	"m02211g"	"MAM02211"
"MAM02212g"	"ksi_pre2"	""	""	""	"m02212g"	""	""	""	"MNXM11956"	""	"ksi_pre2"	"m02212g"	"MAM02212"
"MAM02213g"	"ksi_pre20"	""	""	""	"m02213g"	""	""	""	"MNXM11957"	""	"ksi_pre20"	"m02213g"	"MAM02213"
"MAM02214g"	"ksi_pre21"	""	""	""	"m02214g"	""	""	""	"MNXM11958"	""	"ksi_pre21"	"m02214g"	"MAM02214"
"MAM02215g"	"ksi_pre22"	""	""	""	"m02215g"	""	""	""	"MNXM11959"	""	"ksi_pre22"	"m02215g"	"MAM02215"
"MAM02216g"	"ksi_pre23"	""	""	""	"m02216g"	""	""	""	"MNXM11960"	""	"ksi_pre23"	"m02216g"	"MAM02216"
"MAM02217g"	"ksi_pre24"	""	""	""	"m02217g"	""	""	""	"MNXM11961"	""	"ksi_pre24"	"m02217g"	"MAM02217"
"MAM02218g"	"ksi_pre25"	""	""	""	"m02218g"	""	""	""	"MNXM11962"	""	"ksi_pre25"	"m02218g"	"MAM02218"
"MAM02219g"	"ksi_pre26"	""	""	""	"m02219g"	""	""	""	"MNXM11963"	""	"ksi_pre26"	"m02219g"	"MAM02219"
"MAM02220g"	"ksi_pre27"	""	""	""	"m02220g"	""	""	""	"MNXM11964"	""	"ksi_pre27"	"m02220g"	"MAM02220"
"MAM02221g"	"ksi_pre28"	""	""	""	"m02221g"	""	""	""	"MNXM11965"	""	"ksi_pre28"	"m02221g"	"MAM02221"
"MAM02222g"	"ksi_pre29"	""	""	""	"m02222g"	""	""	""	"MNXM11966"	""	"ksi_pre29"	"m02222g"	"MAM02222"
"MAM02223g"	"ksi_pre3"	""	""	""	"m02223g"	""	""	""	"MNXM11967"	""	"ksi_pre3"	"m02223g"	"MAM02223"
"MAM02224g"	"ksi_pre30"	""	""	""	"m02224g"	""	""	""	"MNXM11968"	""	"ksi_pre30"	"m02224g"	"MAM02224"
"MAM02225g"	"ksi_pre31"	""	""	""	"m02225g"	""	""	""	"MNXM11969"	""	"ksi_pre31"	"m02225g"	"MAM02225"
"MAM02226g"	"ksi_pre32"	""	""	""	"m02226g"	""	""	""	"MNXM11970"	""	"ksi_pre32"	"m02226g"	"MAM02226"
"MAM02227g"	"ksi_pre33"	""	""	""	"m02227g"	""	""	""	"MNXM11971"	""	"ksi_pre33"	"m02227g"	"MAM02227"
"MAM02228g"	"ksi_pre34"	""	""	""	"m02228g"	""	""	""	"MNXM11972"	""	"ksi_pre34"	"m02228g"	"MAM02228"
"MAM02229g"	"ksi_pre35"	""	""	""	"m02229g"	""	""	""	"MNXM11973"	""	"ksi_pre35"	"m02229g"	"MAM02229"
"MAM02230g"	"ksi_pre36"	""	""	""	"m02230g"	""	""	""	"MNXM11974"	""	"ksi_pre36"	"m02230g"	"MAM02230"
"MAM02231g"	"ksi_pre4"	""	""	""	"m02231g"	""	""	""	"MNXM11975"	""	"ksi_pre4"	"m02231g"	"MAM02231"
"MAM02232g"	"ksi_pre5"	""	""	""	"m02232g"	""	""	""	"MNXM11976"	""	"ksi_pre5"	"m02232g"	"MAM02232"
"MAM02233g"	"ksi_pre6"	""	""	""	"m02233g"	""	""	""	"MNXM11977"	""	"ksi_pre6"	"m02233g"	"MAM02233"
"MAM02234g"	"ksi_pre7"	""	""	""	"m02234g"	""	""	""	"MNXM11978"	""	"ksi_pre7"	"m02234g"	"MAM02234"
"MAM02235g"	"ksi_pre8"	""	""	""	"m02235g"	""	""	""	"MNXM11979"	""	"ksi_pre8"	"m02235g"	"MAM02235"
"MAM02236g"	"ksi_pre9"	""	""	""	"m02236g"	""	""	""	"MNXM11980"	""	"ksi_pre9"	"m02236g"	"MAM02236"
"MAM02237l"	"ksi_deg1"	""	""	""	"m02237l"	""	""	""	"MNXM8784"	""	"ksi_deg1"	"m02237l"	"MAM02237"
"MAM02237e"	"ksi_deg1"	""	""	""	"m02237s"	""	""	""	"MNXM8784"	""	"ksi_deg1"	"m02237s"	"MAM02237"
"MAM02238l"	"ksi_deg10"	""	""	""	"m02238l"	""	""	""	"MNXM11981"	""	"ksi_deg10"	"m02238l"	"MAM02238"
"MAM02239l"	"ksi_deg11"	""	""	""	"m02239l"	""	""	""	"MNXM8785"	""	"ksi_deg11"	"m02239l"	"MAM02239"
"MAM02240l"	"ksi_deg12"	""	""	""	"m02240l"	""	""	""	"MNXM8786"	""	"ksi_deg12"	"m02240l"	"MAM02240"
"MAM02241l"	"ksi_deg13"	""	""	""	"m02241l"	""	""	""	"MNXM11982"	""	"ksi_deg13"	"m02241l"	"MAM02241"
"MAM02242l"	"ksi_deg14"	""	""	""	"m02242l"	""	""	""	"MNXM8787"	""	"ksi_deg14"	"m02242l"	"MAM02242"
"MAM02243l"	"ksi_deg15"	""	""	""	"m02243l"	""	""	""	"MNXM8788"	""	"ksi_deg15"	"m02243l"	"MAM02243"
"MAM02244l"	"ksi_deg16"	""	""	""	"m02244l"	""	""	""	"MNXM11983"	""	"ksi_deg16"	"m02244l"	"MAM02244"
"MAM02245l"	"ksi_deg17"	""	""	""	"m02245l"	""	""	""	"MNXM8789"	""	"ksi_deg17"	"m02245l"	"MAM02245"
"MAM02246l"	"ksi_deg18"	""	""	""	"m02246l"	""	""	""	"MNXM8790"	""	"ksi_deg18"	"m02246l"	"MAM02246"
"MAM02247l"	"ksi_deg19"	""	""	""	"m02247l"	""	""	""	"MNXM11984"	""	"ksi_deg19"	"m02247l"	"MAM02247"
"MAM02248l"	"ksi_deg2"	""	""	""	"m02248l"	""	""	""	"MNXM11985"	""	"ksi_deg2"	"m02248l"	"MAM02248"
"MAM02249l"	"ksi_deg20"	""	""	""	"m02249l"	""	""	""	"MNXM8791"	""	"ksi_deg20"	"m02249l"	"MAM02249"
"MAM02250l"	"ksi_deg21"	""	""	""	"m02250l"	""	""	""	"MNXM8792"	""	"ksi_deg21"	"m02250l"	"MAM02250"
"MAM02251l"	"ksi_deg22"	""	""	""	"m02251l"	""	""	""	"MNXM11986"	""	"ksi_deg22"	"m02251l"	"MAM02251"
"MAM02252l"	"ksi_deg23"	""	""	""	"m02252l"	""	""	""	"MNXM8793"	""	"ksi_deg23"	"m02252l"	"MAM02252"
